"Protocol ID","Secondary IDs","ClinicalTrials.gov ID","Brief Title","Overall Status","Study Type","Phase","Intervention Types","U.S. FDA Regulated Drug","U.S. FDA Regulated Device","U.S. FDA IND/IDE Information","Locations in US","Start Date","Primary Completion Date","Primary Completion Date Type","Study Completion Date","Study Completion Date Type","Delayed Results Type","Plan to Share IPD?","Available IPD/Information","Study Documents","Initial Release","Initial Results Release","Initial Delayed Results Release","Verification Date","Record Status","NIH Grants","Results Status","Unreported Primary Outcomes","Unreported Secondary Outcomes","Delayed Results Status","Last Update","Last Release","Record Owner","Last Updater","Responsible Party","Central Contacts","Study Officials","Sponsor","Collaborators","Public Site Status","Initial Public Release","Last Public Release","FDAAA Status","Problems","Update Expected","Corrections Expected","Results Expected","All Results Expected","Review Comments Status"
"8",568,1218,"Title 146","Recruiting","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"06/15/2021","03/05/2025","Anticipated","06/06/2025","Anticipated",,,,,"06/07/2021",,,"11/23/2022","Public",,,,,,"11/21/2022","11/21/2022","ro_name_AAA
ro_name_AAA@email.com","lu_name_EF
lu_name_EF@email.com","[Sponsor]","cc_name_GBC
cc_name_GBC@email.com
(555) 555-5555","so_name_AIH","University","Congressionally Directed Medical Research Programs","Public Site Status","06/07/2021","11/21/2022",,,"11/23/2023",,,,
"10",497,531,"Title 251","Active, not recruiting","Interventional","N/A","Behavioral",,,,,"05/20/2014","02/06/2019","Actual","06/17/2023","Anticipated",,,,,"04/19/2014",,,"07/26/2022","Public","NIMH",,,,,"08/01/2022","08/01/2022","ro_name_AAA
ro_name_AAA@email.com","lu_name_EF
lu_name_EF@email.com","[Sponsor]","cc_name_GBD
cc_name_GBD@email.com
(555) 555-5555","so_name_AIG","University","National Institute of Mental Health (NIMH)","Public Site Status","04/19/2014","08/01/2022",,,"07/26/2023",,,,
"11",,808,"Title 253","Active, not recruiting","Interventional","N/A","Behavioral; Other",,,,,"04/25/2017","06/25/2023","Anticipated","06/25/2023","Anticipated",,,,,"03/26/2017",,,"07/26/2022","Public",,,,,,"08/01/2022","08/01/2022","ro_name_AAA
ro_name_AAA@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_BJH
cc_name_BJH@email.com
555-555-5555","so_name_AII","University",,"Public Site Status","03/28/2017","08/01/2022",,,"07/26/2023",,,,
"12",30,986,"Title 345","Completed","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"03/24/2019","08/06/2020","Actual","12/05/2020","Actual",,,,,"03/31/2019",,,"06/25/2021","Public",,,,,,"06/07/2021","06/07/2021","ro_name_BF
ro_name_BF@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HJA
cc_name_HJA@email.com
(555)-555-5555","so_name_AIE","University",,"Public Site Status","04/08/2019","06/07/2021",,,,,,,
"20",38,888,"Title 337","Completed","Observational",,"Other","No FDA regulated drug","No FDA regulated device",,,"03/21/2018","03/20/2021","Actual","03/20/2021","Actual",,,,,"02/28/2018",,,"11/23/2021","Public","NIDA",,,,,"11/04/2021","11/04/2021","ro_name_BGA
ro_name_BGA@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DHJ
cc_name_DHJ@email.com
555 555 5555",,"University","National Institute on Drug Abuse (NIDA)","Public Site Status","03/04/2018","11/04/2021",,,,,,,
"23",496,633,"Title 830","Completed","Interventional","N/A","Behavioral",,,,,"01/23/2016","05/26/2022","Actual","05/26/2022","Actual",,,,,"01/31/2015",,,"08/26/2022","Public","NIMH",,,,,"08/16/2022","08/16/2022","ro_name_CCH
ro_name_CCH@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HHH
cc_name_HHH@email.com
555-555-5555","so_name_EIG","University","National Institute of Mental Health (NIMH)","Public Site Status","02/02/2015","08/16/2022",,,,,,,
"27",99,1041,"Title 1203","Active, not recruiting","Interventional","N/A","Drug","No FDA regulated drug","No FDA regulated device",,,"11/25/2019","06/10/2024","Anticipated","06/10/2024","Anticipated",,,,,"11/26/2019",,,"07/26/2022","Public","NIDDK",,,,,"07/22/2022","07/23/2022","ro_name_BGJ
ro_name_BGJ@email.com","lu_name_ACF
lu_name_ACF@email.com","[Sponsor]","cc_name_DGF
cc_name_DGF@email.com
555-555-5555","so_name_DFD","University","Merck Sharp & Dohme LLC
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","11/27/2019","07/23/2022",,,"07/26/2023",,,,
"39",,665,"Title 1195","Completed","Interventional","N/A","Dietary Supplement",,,,,"03/26/2015","01/23/2016","Actual","01/23/2016","Actual",,,,,"04/29/2015",,,"01/23/2016","Public",,,,,,"01/17/2016","01/17/2016","ro_name_IE
ro_name_IE@email.com","lu_name_DG
lu_name_DG@email.com","rp_name_BF","cc_name_AGF
cc_name_AGF@email.com
5555555555 Ext: 555","so_name_AEF","University",,"Public Site Status","07/12/2015","01/17/2016",,,,,,,
"40",,666,"Title 1197","Completed","Interventional","N/A","Dietary Supplement",,,,,"07/07/2015","10/28/2019","Actual","10/28/2019","Actual",,,,,"04/29/2015",,,"03/25/2020","Public",,,,,,"03/29/2020","03/29/2020","ro_name_IE
ro_name_IE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AGF
cc_name_AGF@email.com
5555555555","so_name_AEF","University",,"Public Site Status","07/12/2015","03/29/2020",,,,,,,
"42",212,814,"Title 1124","Completed","Interventional","N/A","Behavioral",,,,,"10/24/2015","08/25/2020","Actual","08/25/2020","Actual",,,,,"05/02/2017",,,"01/23/2022","Public","NIDA",,,,,"01/15/2022","01/15/2022","ro_name_DEH
ro_name_DEH@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HED
cc_name_HED@email.com
555-555-5555",,"University","National Institute on Drug Abuse (NIDA)","Public Site Status","05/07/2017","01/15/2022",,,,,,,
